iter	Passed	Remaining
0	23	5727
1	48	5998
2	76	6283
3	104	6412
4	133	6536
5	161	6564
6	191	6647
7	220	6659
8	247	6638
9	277	6654
10	305	6640
11	334	6639
12	365	6656
13	395	6662
14	422	6625
15	453	6633
16	483	6624
17	513	6612
18	542	6596
19	571	6577
20	600	6549
21	629	6523
22	658	6499
23	687	6473
24	715	6436
25	743	6402
26	772	6376
27	799	6337
28	823	6277
29	851	6244
30	879	6213
31	908	6186
32	938	6168
33	965	6133
34	994	6107
35	1023	6086
36	1053	6064
37	1082	6037
38	1096	5930
39	1126	5911
40	1144	5835
41	1172	5807
42	1185	5705
43	1213	5681
44	1241	5654
45	1270	5634
46	1299	5613
47	1328	5592
48	1358	5573
49	1387	5549
50	1416	5526
51	1445	5503
52	1474	5481
53	1502	5452
54	1531	5429
55	1559	5403
56	1587	5376
57	1615	5349
58	1644	5322
59	1674	5303
60	1703	5278
61	1732	5252
62	1761	5228
63	1790	5204
64	1818	5175
65	1845	5143
66	1873	5116
67	1902	5091
68	1931	5065
69	1960	5040
70	1989	5016
71	2019	4992
72	2049	4969
73	2078	4944
74	2107	4917
75	2135	4888
76	2163	4861
77	2192	4834
78	2221	4808
79	2250	4781
80	2279	4755
81	2308	4729
82	2336	4701
83	2364	4673
84	2393	4646
85	2420	4615
86	2449	4589
87	2479	4564
88	2509	4538
89	2539	4514
90	2568	4488
91	2597	4460
92	2624	4431
93	2653	4404
94	2682	4376
95	2711	4349
96	2739	4320
97	2767	4292
98	2795	4264
99	2825	4238
100	2855	4212
101	2885	4186
102	2913	4158
103	2942	4131
104	2970	4102
105	2999	4074
106	3028	4046
107	3056	4019
108	3085	3991
109	3114	3963
110	3142	3935
111	3170	3906
112	3198	3878
113	3226	3849
114	3254	3820
115	3282	3791
116	3311	3764
117	3341	3738
118	3371	3711
119	3401	3684
120	3429	3656
121	3459	3629
122	3487	3600
123	3515	3572
124	3544	3544
125	3574	3517
126	3602	3488
127	3630	3460
128	3659	3432
129	3688	3404
130	3718	3378
131	3747	3350
132	3778	3324
133	3807	3296
134	3836	3268
135	3866	3240
136	3895	3213
137	3924	3185
138	3953	3156
139	3982	3129
140	4012	3101
141	4039	3072
142	4067	3043
143	4097	3015
144	4125	2987
145	4154	2959
146	4183	2931
147	4212	2903
148	4241	2874
149	4270	2847
150	4298	2818
151	4327	2790
152	4356	2761
153	4384	2733
154	4413	2704
155	4442	2676
156	4471	2648
157	4500	2620
158	4529	2592
159	4558	2564
160	4587	2535
161	4614	2506
162	4643	2478
163	4671	2449
164	4701	2421
165	4728	2392
166	4756	2364
167	4784	2335
168	4812	2306
169	4840	2278
170	4867	2248
171	4895	2220
172	4924	2191
173	4951	2162
174	4981	2134
175	5010	2106
176	5037	2077
177	5067	2049
178	5094	2020
179	5123	1992
180	5151	1963
181	5179	1935
182	5207	1906
183	5235	1877
184	5264	1849
185	5292	1821
186	5322	1793
187	5350	1764
188	5379	1736
189	5408	1707
190	5434	1678
191	5463	1650
192	5491	1621
193	5520	1593
194	5549	1565
195	5578	1536
196	5606	1508
197	5636	1480
198	5664	1451
199	5694	1423
200	5723	1395
201	5751	1366
202	5777	1337
203	5806	1309
204	5834	1280
205	5862	1252
206	5892	1223
207	5921	1195
208	5949	1167
209	5978	1138
210	6006	1110
211	6034	1081
212	6063	1053
213	6092	1024
214	6120	996
215	6149	967
216	6178	939
217	6207	911
218	6236	882
219	6264	854
220	6293	825
221	6321	797
222	6350	768
223	6379	740
224	6408	712
225	6436	683
226	6464	654
227	6493	626
